wl,n,wl,k
,,1.38125,6.55E-05
,,1.3825,6.94E-05
,,1.38375,7.39E-05
,,1.385,7.87E-05
,,1.38625,8.37E-05
,,1.3875,8.93E-05
,,1.38875,9.55E-05
,,1.39,0.000101764
,,1.39125,0.000111819
,,1.3925,0.000118568
,,1.39375,0.000127548
,,1.395,0.000135433
,,1.39625,0.000144443
,,1.3975,0.000153469
,,1.39875,0.000162511
,,1.4,0.000170455
,,1.40125,0.000180643
,,1.4025,0.000189733
,,1.40375,0.000197721
,,1.405,0.000206842
,,1.40625,0.000214859
,,1.4075,0.000222891
,,1.40875,0.000229815
,,1.41,0.000236751
,,1.41125,0.000243699
,,1.4125,0.000249535
,,1.41375,0.000255381
,,1.415,0.000261237
,,1.41625,0.000265976
,,1.4175,0.000270723
,,1.41875,0.000275477
,,1.42,0.00028024
,,1.42125,0.000282749
,,1.4225,0.000286393
,,1.42375,0.000290044
,,1.425,0.000293701
,,1.42625,0.000296228
,,1.4275,0.00029876
,,1.42875,0.000301295
,,1.43,0.000303835
,,1.43125,0.000305239
,,1.4325,0.000307786
,,1.43375,0.000309195
,,1.435,0.000310607
,,1.43625,0.00031202
,,1.4375,0.000313436
,,1.43875,0.000314853
,,1.44,0.000315127
,,1.44125,0.000316547
,,1.4425,0.00031797
,,1.44375,0.000318245
,,1.445,0.000318521
,,1.44625,0.000319947
,,1.4475,0.000320224
,,1.44875,0.0003205
,,1.45,0.000320777
,,1.45125,0.000321053
,,1.4525,0.00032133
,,1.45375,0.000321606
,,1.455,0.000321883
,,1.45625,0.000322159
,,1.4575,0.000321276
,,1.45875,0.000321552
,,1.46,0.000321827
,,1.46125,0.000322103
,,1.4625,0.000322378
,,1.46375,0.000321489
,,1.465,0.000320598
,,1.46625,0.000319704
,,1.4675,0.000318809
,,1.46875,0.000317912
,,1.47,0.000317013
,,1.47125,0.000316112
,,1.4725,0.000315208
,,1.47375,0.00031313
,,1.475,0.000311048
,,1.47625,0.000308963
,,1.4775,0.000308048
,,1.47875,0.000305955
,,1.48,0.000303859
,,1.48125,0.000301758
,,1.4825,0.000298473
,,1.48375,0.000296363
,,1.485,0.000293068
,,1.48625,0.000290949
,,1.4875,0.000287643
,,1.48875,0.000285515
,,1.49,0.000282198
,,1.49125,0.000278874
,,1.4925,0.000276733
,,1.49375,0.000273398
,,1.495,0.000270058
,,1.49625,0.000266712
,,1.4975,0.00026336
,,1.49875,0.000260001
,,1.5,0.000256637
,,1.50125,0.000254462
,,1.5025,0.000251087
,,1.50375,0.000247706
,,1.505,0.000244319
,,1.50625,0.000240926
,,1.5075,0.000238726
,,1.50875,0.000234122
,,1.51,0.000231913
,,1.51125,0.000228497
,,1.5125,0.000225075
,,1.51375,0.000221647
,,1.515,0.000219419
,,1.51625,0.00021598
,,1.5175,0.000212536
,,1.51875,0.000210293
,,1.52,0.000206838
,,1.52125,0.000204587
,,1.5225,0.00020112
